UserId,ItemId
0,1020 331 259 1575 1868 485 2455 1430 865 1281 465 496 84 863 2088 505 422 2651 2940 1302 637 2527 968 2411 2977 2661 719 2823 2031 1656 1063 1339 2309 1195 1770 2022 2002 2119 1531 384 167 3031 2339 2299 1530 2885 3041 294 2149 197 
1,2537 2350 1023 2463 3049 3031 3041 2738 1193 2030 2464 2055 2940 2823 333 1749 719 1949 573 1239 2007 637 454 46 2351 115 1800 3015 275 2814 497 1693 1088 1130 859 1127 428 3231 770 1860 338 2971 517 1812 437 1059 1715 2652 2117 292 
2,1034 346 1784 1200 1770 1295 1290 2320 2652 938 1567 1973 706 2127 497 48 100 3052 296 2035 1923 2066 2478 644 385 2222 1443 2883 1871 2810 2398 2696 1573 2726 3049 1942 2551 2472 814 1424 1857 1324 1013 229 663 1941 3103 2080 1292 454 
3,2464 2320 1193 2726 2541 1770 865 1443 2537 770 2312 2855 1575 1784 275 1348 609 702 2750 1197 100 1567 2940 3229 2652 1185 1868 2463 1465 521 1800 255 697 18 719 1818 2350 1474 945 987 767 644 2179 2024 1455 491 2108 296 1681 2012 
4,2115 2320 981 2099 2845 1784 1224 1196 676 505 2470 960 2431 2466 372 2178 2771 3040 335 613 2217 2525 288 1593 998 1167 1203 1866 545 2164 629 2795 1002 1895 370 1353 866 3019 1318 2785 837 1099 471 1405 295 3118 2117 489 840 164 
5,1430 13 571 2946 2371 1521 471 919 2119 1689 760 490 728 2855 1877 167 486 3103 2922 1195 770 1715 1152 397 1988 847 1589 334 162 751 128 1302 398 35 1720 3023 589 1505 2002 1846 2828 1941 1657 84 3176 1281 1298 2138 165 2178 
6,1386 2885 2652 465 2883 517 2937 865 1956 48 2163 2875 2696 2398 1443 1575 2541 2055 1474 1973 803 1185 2464 2976 2217 2537 1195 3064 2147 3209 2006 497 2428 1088 868 490 644 2649 1213 2111 2855 2750 2932 275 1254 3014 2044 1941 2595 2933 
7,1868 1132 988 1715 2398 2845 2525 2193 1353 1321 865 811 1761 2474 2521 1795 2966 1057 234 1088 62 426 2006 292 1150 2595 1722 1002 2055 1567 1421 1106 1784 2115 280 358 1444 1170 415 1418 1652 1000 1743 899 2283 332 443 2431 1977 3237 
8,719 1195 1268 505 231 2810 1770 2805 3031 2845 1715 294 2455 1614 486 1941 2902 1648 465 2380 3189 964 2320 1722 2350 1119 2527 3186 2232 3147 1958 981 2809 1761 1521 2007 847 2128 734 92 2392 2006 3079 1386 651 2821 2555 1635 2022 1152 
9,170 2455 3220 1325 384 2115 719 2921 1614 372 842 741 2275 1115 706 2902 2444 2966 490 2661 2537 1938 3040 1765 2971 1365 1828 277 847 2283 2845 714 294 370 3156 976 1730 1197 3124 2795 1853 1200 1156 1857 869 1752 3037 264 1132 1242 
10,1386 1575 1956 2022 1185 1200 2940 719 2537 1681 1455 1868 1465 457 1693 1348 275 2885 2652 2726 1755 231 496 2031 2179 2320 471 3209 663 3178 2108 2944 770 698 2350 767 18 333 1197 1793 706 417 2470 1013 2547 3127 702 3229 2855 3078 
11,2649 115 1402 1290 232 3229 2398 1811 1973 2035 2044 2964 2080 1920 398 959 2428 868 2147 3090 2478 2861 2393 607 229 1737 3194 272 2122 2312 186 427 1643 1956 1239 991 1796 3022 2551 1879 2384 1494 2064 2585 2480 702 517 1071 2940 1370 
12,938 2431 1224 1325 1405 358 2959 856 954 2537 2392 2312 1197 2885 714 1861 3241 1386 2464 25 1185 2940 2022 458 3210 1336 2841 2193 987 865 2115 1470 2977 676 2514 1193 119 2351 2930 1812 1200 465 2024 243 2306 1465 655 3078 2631 876 
13,1154 1002 1054 856 319 2811 2431 751 1975 825 2957 1299 938 1117 987 2164 676 1224 2196 3210 692 2866 2631 1964 2930 1596 2113 1415 1317 25 1006 613 1895 3194 2546 2129 2316 1474 1575 2889 155 2841 2648 1129 1094 1432 505 1470 1861 2115 
14,2350 2470 2885 2022 1386 100 2182 2541 2937 2652 1197 465 517 1239 1722 1213 865 2464 1941 2217 2351 275 231 987 1737 803 1956 1195 719 1818 3189 2805 490 1106 702 2688 2537 1861 1567 2855 2111 1868 505 405 471 1681 706 1474 3241 868 
15,1386 3142 1339 2726 91 845 954 1020 987 2262 468 3241 122 2022 1194 2350 2413 2652 512 856 192 2546 2182 1474 1956 2811 1797 2866 2541 1452 1332 128 2320 803 1991 2962 2351 100 517 2225 2875 942 1612 2431 1517 2236 3158 1129 2937 3039 
16,2885 1195 2464 2022 2652 2470 231 1307 644 2312 294 741 2807 1405 458 1871 486 1715 2664 2351 2899 2173 1812 1407 783 384 1474 1656 2805 2384 2921 2206 1365 1268 3176 372 706 3040 1012 2006 2115 847 2174 479 814 2902 3241 1321 1185 2024 
17,3241 2320 1106 2875 100 1474 2649 91 1722 1117 1269 706 987 405 2474 2413 2957 2541 241 2966 2714 517 1137 1737 381 2057 2262 2537 1797 1370 1575 2351 2216 1371 1195 231 2666 856 501 1784 1087 521 1325 512 1736 272 2616 1956 319 1056 
18,750 1923 1857 1586 3142 2039 3078 2312 706 2514 2022 1835 2855 3032 465 505 77 2403 938 2031 1193 2537 3037 2885 697 1200 2108 2339 2652 427 2831 329 639 117 663 167 1307 767 999 1053 770 1465 918 1405 1197 1868 2772 1417 2299 88 
19,1197 167 938 485 1336 2537 3078 2470 3178 2031 706 1673 3032 2547 333 2320 3037 294 1443 783 2115 2823 2940 2455 2299 1889 1407 117 745 2127 1417 719 2841 981 702 1184 1784 1949 3142 2645 1260 2749 698 821 2144 226 2549 2034 2602 1343 
